TeamID,Season,Wins,Losses,WinRatio
3267,2014,8,19,0.296
3268,2014,24,6,0.8
3269,2014,4,27,0.129
3270,2014,17,13,0.567
3271,2014,8,21,0.276
3272,2014,13,18,0.419
3273,2014,17,14,0.548
3274,2014,16,14,0.533
3275,2014,8,22,0.267
3276,2014,18,13,0.581
3277,2014,22,9,0.71
3278,2014,20,12,0.625
3279,2014,12,19,0.387
3280,2014,14,12,0.538
3281,2014,17,13,0.567
3282,2014,10,19,0.345
3283,2014,14,17,0.452
3284,2014,8,25,0.242
3285,2014,21,10,0.677
3286,2014,13,15,0.464
3287,2014,11,17,0.393
3288,2014,4,24,0.143
3289,2014,0,0,
3290,2014,9,21,0.3
3291,2014,19,13,0.594
3292,2014,29,4,0.879
3293,2014,10,17,0.37
3294,2014,13,15,0.464
3295,2014,4,24,0.143
3296,2014,11,19,0.367
3297,2014,17,12,0.586
3298,2014,24,7,0.774
3299,2014,23,6,0.793
3300,2014,11,18,0.379
3301,2014,24,7,0.774
3302,2014,0,0,
3303,2014,9,16,0.36
3304,2014,25,6,0.806
3305,2014,17,13,0.567
3306,2014,18,12,0.6
3307,2014,11,19,0.367
3308,2014,10,20,0.333
3309,2014,0,29,0.0
3310,2014,10,20,0.333
3311,2014,16,14,0.533
3312,2014,7,21,0.25
3313,2014,11,16,0.407
3314,2014,24,9,0.727
3315,2014,20,9,0.69
3316,2014,5,23,0.179
3317,2014,10,17,0.37
3318,2014,12,18,0.4
3319,2014,9,20,0.31
3320,2014,16,13,0.552
3321,2014,15,15,0.5
3322,2014,19,12,0.613
3323,2014,32,0,1.0
3324,2014,11,17,0.393
3325,2014,8,21,0.276
3326,2014,17,18,0.486
3327,2014,0,0,
3328,2014,17,14,0.548
3329,2014,23,8,0.742
3330,2014,16,14,0.533
3331,2014,8,20,0.286
3332,2014,15,14,0.517
3333,2014,22,10,0.688
3334,2014,16,12,0.571
3335,2014,22,6,0.786
3336,2014,22,7,0.759
3337,2014,6,25,0.194
3338,2014,11,20,0.355
3339,2014,14,16,0.467
3340,2014,7,21,0.25
3341,2014,14,17,0.452
3342,2014,10,17,0.37
3343,2014,20,8,0.714
3344,2014,7,23,0.233
3345,2014,21,8,0.724
3346,2014,21,12,0.636
3347,2014,5,23,0.179
3348,2014,6,23,0.207
3349,2014,13,17,0.433
3350,2014,14,16,0.467
3351,2014,15,17,0.469
3352,2014,21,11,0.656
3353,2014,22,9,0.71
3354,2014,6,20,0.231
3355,2014,22,9,0.71
3356,2014,5,24,0.172
3357,2014,12,18,0.4
3358,2014,12,16,0.429
3359,2014,10,19,0.345
3360,2014,21,8,0.724
3361,2014,13,17,0.433
3362,2014,12,19,0.387
3363,2014,9,19,0.321
3364,2014,7,22,0.241
3365,2014,9,20,0.31
3366,2014,17,13,0.567
3367,2014,16,14,0.533
3368,2014,7,22,0.241
3369,2014,9,19,0.321
3370,2014,16,16,0.5
3371,2014,18,13,0.581
3372,2014,18,12,0.6
3373,2014,9,22,0.29
3374,2014,17,13,0.567
3375,2014,7,20,0.259
3376,2014,27,4,0.871
3377,2014,17,13,0.567
3378,2014,18,12,0.6
3379,2014,24,6,0.8
3380,2014,18,8,0.692
3381,2014,20,9,0.69
3382,2014,23,10,0.697
3383,2014,19,11,0.633
3384,2014,15,17,0.469
3385,2014,22,10,0.688
3386,2014,22,9,0.71
3387,2014,12,17,0.414
3388,2014,22,9,0.71
3389,2014,3,27,0.1
3390,2014,29,3,0.906
3391,2014,25,7,0.781
3392,2014,24,8,0.75
3393,2014,22,9,0.71
3394,2014,17,12,0.586
3395,2014,18,14,0.562
3396,2014,14,15,0.483
3397,2014,27,5,0.844
3398,2014,11,18,0.379
3399,2014,11,18,0.379
3400,2014,21,11,0.656
3401,2014,24,8,0.75
3402,2014,14,15,0.483
3403,2014,6,23,0.207
3404,2014,24,7,0.774
3405,2014,16,16,0.5
3406,2014,13,17,0.433
3407,2014,11,18,0.379
3408,2014,19,10,0.655
3409,2014,12,16,0.429
3410,2014,12,16,0.429
3411,2014,20,12,0.625
3412,2014,16,15,0.516
3413,2014,14,16,0.467
3414,2014,16,15,0.516
3415,2014,6,22,0.214
3416,2014,9,20,0.31
3417,2014,12,18,0.4
3418,2014,12,16,0.429
3419,2014,10,20,0.333
3420,2014,3,25,0.107
3421,2014,10,20,0.333
3422,2014,7,23,0.233
3423,2014,5,27,0.156
3424,2014,12,18,0.4
3425,2014,22,12,0.647
3426,2014,4,25,0.138
3427,2014,13,17,0.433
3428,2014,12,19,0.387
3429,2014,14,15,0.483
3430,2014,6,23,0.207
3431,2014,22,7,0.759
3432,2014,0,0,
3433,2014,22,9,0.71
3434,2014,6,25,0.194
3435,2014,18,11,0.621
3436,2014,7,23,0.233
3437,2014,22,8,0.733
3438,2014,14,17,0.452
3439,2014,14,16,0.467
3440,2014,0,0,
3441,2014,15,17,0.469
3442,2014,11,16,0.407
3443,2014,24,8,0.75
3444,2014,13,18,0.419
3445,2014,0,0,
3446,2014,0,0,
3447,2014,9,21,0.3
3448,2014,14,16,0.467
3449,2014,17,13,0.567
3450,2014,17,16,0.515
3451,2014,5,22,0.185
3452,2014,28,4,0.875
3453,2014,21,9,0.7
3454,2014,8,22,0.267
3455,2014,26,6,0.812
3456,2014,8,21,0.276
3457,2014,24,8,0.75
3458,2014,10,19,0.345
3459,2014,5,23,0.179
3460,2014,25,8,0.758
3461,2014,18,11,0.621
3462,2014,8,23,0.258
3463,2014,13,15,0.464
3464,2014,13,16,0.448
3465,2014,0,0,
3466,2014,0,0,
3101,2015,13,12,0.52
3102,2015,2,28,0.067
3103,2015,21,8,0.724
3104,2015,13,19,0.406
3105,2015,6,24,0.2
3106,2015,14,14,0.5
3107,2015,23,8,0.742
3108,2015,10,18,0.357
3109,2015,0,0,
3110,2015,24,8,0.75
3111,2015,13,16,0.448
3112,2015,10,20,0.333
3113,2015,27,5,0.844
3114,2015,28,4,0.875
3115,2015,5,21,0.192
3116,2015,17,13,0.567
3117,2015,22,10,0.688
3118,2015,0,0,
3119,2015,22,7,0.759
3120,2015,13,18,0.419
3121,2015,0,0,
3122,2015,9,20,0.31
3123,2015,17,13,0.567
3124,2015,30,3,0.909
3125,2015,14,16,0.467
3126,2015,11,17,0.393
3127,2015,4,25,0.138
3128,2015,0,0,
3129,2015,20,10,0.667
3130,2015,13,17,0.433
3131,2015,5,25,0.167
3132,2015,9,21,0.3
3133,2015,6,24,0.2
3134,2015,0,0,
3135,2015,10,18,0.357
3136,2015,22,9,0.71
3137,2015,18,12,0.6
3138,2015,19,12,0.613
3139,2015,13,16,0.448
3140,2015,22,9,0.71
3141,2015,13,18,0.419
3142,2015,15,14,0.517
3143,2015,23,9,0.719
3144,2015,17,12,0.586
3145,2015,10,20,0.333
3146,2015,13,14,0.481
3147,2015,0,0,
3148,2015,19,12,0.613
3149,2015,1,25,0.038
3150,2015,15,17,0.469
3151,2015,29,3,0.906
3152,2015,2,24,0.077
3153,2015,8,23,0.258
3154,2015,0,0,
3155,2015,9,21,0.3
3156,2015,17,12,0.586
3157,2015,8,17,0.32
3158,2015,5,25,0.167
3159,2015,9,22,0.29
3160,2015,15,17,0.469
3161,2015,21,7,0.75
3162,2015,8,19,0.296
3163,2015,32,1,0.97
3164,2015,6,21,0.222
3165,2015,15,13,0.536
3166,2015,17,13,0.567
3167,2015,22,8,0.733
3168,2015,13,19,0.406
3169,2015,23,9,0.719
3170,2015,16,15,0.516
3171,2015,14,14,0.5
3172,2015,5,25,0.167
3173,2015,25,6,0.806
3174,2015,15,17,0.469
3175,2015,3,25,0.107
3176,2015,8,23,0.258
3177,2015,26,7,0.788
3178,2015,10,18,0.357
3179,2015,19,10,0.655
3180,2015,20,10,0.667
3181,2015,21,10,0.677
3182,2015,21,10,0.677
3183,2015,10,20,0.333
3184,2015,8,17,0.32
3185,2015,19,12,0.613
3186,2015,17,11,0.607
3187,2015,21,10,0.677
3188,2015,19,12,0.613
3189,2015,17,12,0.586
3190,2015,21,11,0.656
3191,2015,12,19,0.387
3192,2015,10,20,0.333
3193,2015,15,16,0.484
3194,2015,12,17,0.414
3195,2015,29,2,0.935
3196,2015,13,17,0.433
3197,2015,7,20,0.259
3198,2015,3,26,0.103
3199,2015,29,4,0.879
3200,2015,19,11,0.633
3201,2015,20,9,0.69
3202,2015,17,13,0.567
3203,2015,28,3,0.903
3204,2015,4,24,0.143
3205,2015,13,17,0.433
3206,2015,13,17,0.433
3207,2015,4,27,0.129
3208,2015,19,12,0.613
3209,2015,12,17,0.414
3210,2015,18,14,0.562
3211,2015,24,7,0.774
3212,2015,7,20,0.259
3213,2015,11,14,0.44
3214,2015,18,12,0.6
3215,2015,0,0,
3216,2015,16,17,0.485
3217,2015,14,14,0.5
3218,2015,21,8,0.724
3219,2015,19,12,0.613
3220,2015,20,12,0.625
3221,2015,15,17,0.469
3222,2015,6,22,0.214
3223,2015,11,18,0.379
3224,2015,4,27,0.129
3225,2015,12,15,0.444
3226,2015,10,16,0.385
3227,2015,14,14,0.5
3228,2015,15,16,0.484
3229,2015,2,28,0.067
3230,2015,3,22,0.12
3231,2015,15,16,0.484
3232,2015,16,13,0.552
3233,2015,15,15,0.5
3234,2015,24,7,0.774
3235,2015,18,12,0.6
3236,2015,7,21,0.25
3237,2015,13,16,0.448
3238,2015,14,17,0.452
3239,2015,10,17,0.37
3240,2015,19,10,0.655
3241,2015,28,3,0.903
3242,2015,15,17,0.469
3243,2015,17,13,0.567
3244,2015,17,13,0.567
3245,2015,5,24,0.172
3246,2015,23,9,0.719
3247,2015,15,16,0.484
3248,2015,14,17,0.452
3249,2015,14,13,0.519
3250,2015,18,12,0.6
3251,2015,25,6,0.806
3252,2015,7,21,0.25
3253,2015,21,9,0.7
3254,2015,9,21,0.3
3255,2015,4,26,0.133
3256,2015,15,15,0.5
3257,2015,25,6,0.806
3258,2015,7,24,0.226
3259,2015,7,23,0.233
3260,2015,6,25,0.194
3261,2015,17,13,0.567
3262,2015,13,15,0.464
3263,2015,23,8,0.742
3264,2015,3,27,0.1
3265,2015,21,11,0.656
3266,2015,9,22,0.29
3267,2015,14,14,0.5
3268,2015,30,2,0.938
3269,2015,12,18,0.4
3270,2015,13,13,0.5
3271,2015,13,17,0.433
3272,2015,14,17,0.452
3273,2015,18,14,0.562
3274,2015,19,12,0.613
3275,2015,6,23,0.207
3276,2015,14,14,0.5
3277,2015,16,15,0.516
3278,2015,23,9,0.719
3279,2015,17,13,0.567
3280,2015,26,6,0.812
3281,2015,17,13,0.567
3282,2015,6,22,0.214
3283,2015,18,14,0.562
3284,2015,13,18,0.419
3285,2015,22,8,0.733
3286,2015,13,15,0.464
3287,2015,11,18,0.379
3288,2015,7,19,0.269
3289,2015,0,0,
3290,2015,2,26,0.071
3291,2015,8,22,0.267
3292,2015,21,9,0.7
3293,2015,6,21,0.222
3294,2015,19,12,0.613
3295,2015,10,18,0.357
3296,2015,12,17,0.414
3297,2015,18,13,0.581
3298,2015,16,14,0.533
3299,2015,18,11,0.621
3300,2015,7,21,0.25
3301,2015,16,14,0.533
3302,2015,0,0,
3303,2015,8,18,0.308
3304,2015,21,10,0.677
3305,2015,8,21,0.276
3306,2015,16,12,0.571
3307,2015,20,12,0.625
3308,2015,20,7,0.741
3309,2015,7,18,0.28
3310,2015,14,17,0.452
3311,2015,16,13,0.552
3312,2015,10,17,0.37
3313,2015,14,16,0.467
3314,2015,24,8,0.75
3315,2015,15,14,0.517
3316,2015,9,19,0.321
3317,2015,5,24,0.172
3318,2015,4,25,0.138
3319,2015,12,16,0.429
3320,2015,17,14,0.548
3321,2015,22,8,0.733
3322,2015,15,14,0.517
3323,2015,31,2,0.939
3324,2015,10,18,0.357
3325,2015,26,4,0.867
3326,2015,23,10,0.697
3327,2015,0,0,
3328,2015,20,11,0.645
3329,2015,20,11,0.645
3330,2015,20,12,0.625
3331,2015,14,15,0.483
3332,2015,13,17,0.433
3333,2015,25,4,0.862
3334,2015,19,9,0.679
3335,2015,19,8,0.704
3336,2015,6,24,0.2
3337,2015,8,22,0.267
3338,2015,19,11,0.633
3339,2015,4,26,0.133
3340,2015,4,23,0.148
3341,2015,13,18,0.419
3342,2015,14,15,0.483
3343,2015,29,0,1.0
3344,2015,6,24,0.2
3345,2015,11,20,0.355
3346,2015,31,3,0.912
3347,2015,17,12,0.586
3348,2015,17,13,0.567
3349,2015,9,21,0.3
3350,2015,18,13,0.581
3351,2015,11,20,0.355
3352,2015,17,15,0.531
3353,2015,22,9,0.71
3354,2015,14,12,0.538
3355,2015,24,8,0.75
3356,2015,17,13,0.567
3357,2015,15,13,0.536
3358,2015,6,21,0.222
3359,2015,14,15,0.483
3360,2015,23,6,0.793
3361,2015,11,18,0.379
3362,2015,17,13,0.567
3363,2015,14,17,0.452
3364,2015,2,27,0.069
3365,2015,10,18,0.357
3366,2015,19,10,0.655
3367,2015,12,16,0.429
3368,2015,5,22,0.185
3369,2015,8,19,0.296
3370,2015,10,21,0.323
3371,2015,28,5,0.848
3372,2015,20,7,0.741
3373,2015,19,12,0.613
3374,2015,7,23,0.233
3375,2015,3,24,0.111
3376,2015,30,2,0.938
3377,2015,24,7,0.774
3378,2015,26,7,0.788
3379,2015,21,9,0.7
3380,2015,18,10,0.643
3381,2015,11,15,0.423
3382,2015,15,15,0.5
3383,2015,15,18,0.455
3384,2015,6,23,0.207
3385,2015,21,10,0.677
3386,2015,13,16,0.448
3387,2015,14,16,0.467
3388,2015,20,10,0.667
3389,2015,5,26,0.161
3390,2015,24,9,0.727
3391,2015,21,7,0.75
3392,2015,17,13,0.567
3393,2015,21,9,0.7
3394,2015,15,14,0.517
3395,2015,17,13,0.567
3396,2015,16,16,0.5
3397,2015,27,5,0.844
3398,2015,18,12,0.6
3399,2015,6,23,0.207
3400,2015,22,10,0.688
3401,2015,23,9,0.719
3402,2015,15,14,0.517
3403,2015,15,16,0.484
3404,2015,22,10,0.688
3405,2015,17,13,0.567
3406,2015,11,21,0.344
3407,2015,20,10,0.667
3408,2015,22,10,0.688
3409,2015,17,13,0.567
3410,2015,16,14,0.533
3411,2015,19,9,0.679
3412,2015,17,13,0.567
3413,2015,14,16,0.467
3414,2015,7,24,0.226
3415,2015,17,14,0.548
3416,2015,9,21,0.3
3417,2015,13,18,0.419
3418,2015,17,12,0.586
3419,2015,9,17,0.346
3420,2015,11,19,0.367
3421,2015,8,22,0.267
3422,2015,5,24,0.172
3423,2015,13,16,0.448
3424,2015,13,17,0.433
3425,2015,15,15,0.5
3426,2015,15,13,0.536
3427,2015,16,15,0.516
3428,2015,9,21,0.3
3429,2015,7,23,0.233
3430,2015,9,18,0.333
3431,2015,11,16,0.407
3432,2015,0,0,
3433,2015,16,14,0.533
3434,2015,5,24,0.172
3435,2015,14,16,0.467
3436,2015,5,24,0.172
3437,2015,19,13,0.594
3438,2015,17,13,0.567
3439,2015,12,20,0.375
3440,2015,0,0,
3441,2015,8,19,0.296
3442,2015,15,13,0.536
3443,2015,30,4,0.882
3444,2015,18,12,0.6
3445,2015,0,0,
3446,2015,0,0,
3447,2015,7,22,0.241
3448,2015,13,20,0.394
3449,2015,23,9,0.719
3450,2015,17,13,0.567
3451,2015,9,18,0.333
3452,2015,18,14,0.562
3453,2015,27,4,0.871
3454,2015,10,20,0.333
3455,2015,29,4,0.879
3456,2015,15,15,0.5
3457,2015,16,13,0.552
3458,2015,9,20,0.31
3459,2015,6,22,0.214
3460,2015,23,8,0.742
3461,2015,14,14,0.5
3462,2015,17,14,0.548
3463,2015,13,14,0.481
3464,2015,19,10,0.655
3465,2015,0,0,
3466,2015,0,0,
3101,2016,22,3,0.88
3102,2016,1,29,0.033
3103,2016,18,13,0.581
3104,2016,15,15,0.5
3105,2016,4,25,0.138
3106,2016,18,11,0.621
3107,2016,27,4,0.871
3108,2016,9,19,0.321
3109,2016,0,0,
3110,2016,8,23,0.258
3111,2016,10,20,0.333
3112,2016,13,19,0.406
3113,2016,25,6,0.806
3114,2016,20,12,0.625
3115,2016,6,20,0.231
3116,2016,12,18,0.4
3117,2016,26,5,0.839
3118,2016,0,0,
3119,2016,28,2,0.933
3120,2016,18,12,0.6
3121,2016,0,0,
3122,2016,8,20,0.286
3123,2016,20,9,0.69
3124,2016,33,1,0.971
3125,2016,22,8,0.733
3126,2016,16,12,0.571
3127,2016,11,17,0.393
3128,2016,0,0,
3129,2016,17,10,0.63
3130,2016,15,16,0.484
3131,2016,3,27,0.1
3132,2016,10,18,0.357
3133,2016,8,22,0.267
3134,2016,0,0,
3135,2016,13,13,0.5
3136,2016,18,13,0.581
3137,2016,24,7,0.774
3138,2016,20,13,0.606
3139,2016,10,21,0.323
3140,2016,25,6,0.806
3141,2016,22,10,0.688
3142,2016,15,16,0.484
3143,2016,15,17,0.469
3144,2016,13,17,0.433
3145,2016,13,17,0.433
3146,2016,24,3,0.889
3147,2016,0,0,
3148,2016,12,18,0.4
3149,2016,11,17,0.393
3150,2016,19,11,0.633
3151,2016,24,7,0.774
3152,2016,4,24,0.143
3153,2016,8,22,0.267
3154,2016,0,0,
3155,2016,3,25,0.107
3156,2016,9,19,0.321
3157,2016,9,17,0.346
3158,2016,11,20,0.355
3159,2016,7,23,0.233
3160,2016,7,23,0.233
3161,2016,29,1,0.967
3162,2016,11,17,0.393
3163,2016,32,0,1.0
3164,2016,16,15,0.516
3165,2016,14,14,0.5
3166,2016,17,16,0.515
3167,2016,12,19,0.387
3168,2016,3,27,0.1
3169,2016,7,24,0.226
3170,2016,14,17,0.452
3171,2016,12,18,0.4
3172,2016,11,19,0.367
3173,2016,14,14,0.5
3174,2016,16,15,0.516
3175,2016,9,21,0.3
3176,2016,5,25,0.167
3177,2016,22,8,0.733
3178,2016,14,15,0.483
3179,2016,21,9,0.7
3180,2016,19,13,0.594
3181,2016,20,12,0.625
3182,2016,26,5,0.839
3183,2016,3,25,0.107
3184,2016,16,12,0.571
3185,2016,19,11,0.633
3186,2016,19,12,0.613
3187,2016,13,19,0.406
3188,2016,18,13,0.581
3189,2016,17,12,0.586
3190,2016,13,14,0.481
3191,2016,3,28,0.097
3192,2016,11,21,0.344
3193,2016,16,14,0.533
3194,2016,13,16,0.448
3195,2016,27,4,0.871
3196,2016,22,8,0.733
3197,2016,14,14,0.5
3198,2016,5,26,0.161
3199,2016,23,7,0.767
3200,2016,14,17,0.452
3201,2016,19,11,0.633
3202,2016,13,16,0.448
3203,2016,26,6,0.812
3204,2016,7,22,0.241
3205,2016,17,12,0.586
3206,2016,11,18,0.379
3207,2016,15,13,0.536
3208,2016,21,9,0.7
3209,2016,9,19,0.321
3210,2016,19,12,0.613
3211,2016,18,13,0.581
3212,2016,15,14,0.517
3213,2016,13,14,0.481
3214,2016,14,17,0.452
3215,2016,0,0,
3216,2016,11,19,0.367
3217,2016,14,13,0.519
3218,2016,21,10,0.677
3219,2016,11,19,0.367
3220,2016,21,8,0.724
3221,2016,13,17,0.433
3222,2016,6,24,0.2
3223,2016,11,15,0.423
3224,2016,7,24,0.226
3225,2016,22,9,0.71
3226,2016,16,15,0.516
3227,2016,11,18,0.379
3228,2016,9,21,0.3
3229,2016,8,21,0.276
3230,2016,3,22,0.12
3231,2016,20,11,0.645
3232,2016,13,17,0.433
3233,2016,23,11,0.676
3234,2016,19,13,0.594
3235,2016,13,17,0.433
3236,2016,5,23,0.179
3237,2016,18,10,0.643
3238,2016,11,16,0.407
3239,2016,20,10,0.667
3240,2016,9,17,0.346
3241,2016,27,5,0.844
3242,2016,6,25,0.194
3243,2016,18,12,0.6
3244,2016,7,17,0.292
3245,2016,5,23,0.179
3246,2016,23,7,0.767
3247,2016,5,25,0.167
3248,2016,6,23,0.207
3249,2016,8,19,0.296
3250,2016,17,13,0.567
3251,2016,19,12,0.613
3252,2016,4,25,0.138
3253,2016,24,8,0.75
3254,2016,9,21,0.3
3255,2016,6,22,0.214
3256,2016,13,16,0.448
3257,2016,25,7,0.781
3258,2016,11,20,0.355
3259,2016,16,16,0.5
3260,2016,14,16,0.467
3261,2016,10,21,0.323
3262,2016,4,24,0.143
3263,2016,25,8,0.758
3264,2016,15,16,0.484
3265,2016,16,16,0.5
3266,2016,14,16,0.467
3267,2016,19,11,0.633
3268,2016,30,3,0.909
3269,2016,12,18,0.4
3270,2016,17,12,0.586
3271,2016,11,17,0.393
3272,2016,17,12,0.586
3273,2016,21,8,0.724
3274,2016,24,8,0.75
3275,2016,9,21,0.3
3276,2016,17,13,0.567
3277,2016,24,8,0.75
3278,2016,19,11,0.633
3279,2016,10,20,0.333
3280,2016,23,7,0.767
3281,2016,21,9,0.7
3282,2016,8,18,0.308
3283,2016,23,9,0.719
3284,2016,14,17,0.452
3285,2016,19,11,0.633
3286,2016,19,9,0.679
3287,2016,8,20,0.286
3288,2016,12,17,0.414
3289,2016,0,0,
3290,2016,1,26,0.037
3291,2016,9,21,0.3
3292,2016,24,8,0.75
3293,2016,10,17,0.37
3294,2016,12,16,0.429
3295,2016,5,22,0.185
3296,2016,10,19,0.345
3297,2016,17,13,0.567
3298,2016,14,15,0.483
3299,2016,17,11,0.607
3300,2016,4,23,0.148
3301,2016,20,11,0.645
3302,2016,0,0,
3303,2016,13,15,0.464
3304,2016,18,12,0.6
3305,2016,4,25,0.138
3306,2016,11,18,0.379
3307,2016,17,14,0.548
3308,2016,24,4,0.857
3309,2016,6,18,0.25
3310,2016,8,23,0.258
3311,2016,9,19,0.321
3312,2016,2,26,0.071
3313,2016,3,24,0.111
3314,2016,14,17,0.452
3315,2016,18,13,0.581
3316,2016,5,22,0.185
3317,2016,11,19,0.367
3318,2016,15,16,0.484
3319,2016,4,24,0.143
3320,2016,21,10,0.677
3321,2016,18,16,0.529
3322,2016,15,11,0.577
3323,2016,31,1,0.969
3324,2016,13,15,0.464
3325,2016,24,6,0.8
3326,2016,24,7,0.774
3327,2016,0,0,
3328,2016,21,10,0.677
3329,2016,20,9,0.69
3330,2016,17,17,0.5
3331,2016,13,15,0.464
3332,2016,20,10,0.667
3333,2016,28,4,0.875
3334,2016,12,17,0.414
3335,2016,23,4,0.852
3336,2016,12,19,0.387
3337,2016,7,22,0.241
3338,2016,13,18,0.419
3339,2016,2,27,0.069
3340,2016,3,25,0.107
3341,2016,12,15,0.444
3342,2016,15,12,0.556
3343,2016,23,5,0.821
3344,2016,5,24,0.172
3345,2016,20,11,0.645
3346,2016,24,8,0.75
3347,2016,16,13,0.552
3348,2016,12,18,0.4
3349,2016,9,22,0.29
3350,2016,13,18,0.419
3351,2016,8,22,0.267
3352,2016,19,12,0.613
3353,2016,18,14,0.562
3354,2016,11,16,0.407
3355,2016,26,6,0.812
3356,2016,20,12,0.625
3357,2016,20,12,0.625
3358,2016,12,18,0.4
3359,2016,18,11,0.621
3360,2016,22,7,0.759
3361,2016,11,19,0.367
3362,2016,19,11,0.633
3363,2016,12,17,0.414
3364,2016,11,20,0.355
3365,2016,21,8,0.724
3366,2016,8,18,0.308
3367,2016,17,11,0.607
3368,2016,4,25,0.138
3369,2016,13,15,0.464
3370,2016,8,21,0.276
3371,2016,23,8,0.742
3372,2016,15,12,0.556
3373,2016,14,18,0.438
3374,2016,13,17,0.433
