TeamID,Season,WinRatio,PPG,AllowedPPG,FGPer,Turnovers,Blocks,Rebounds,Assists,PerFouls
3155,2010,0.419,63.452,68.774,0.378,19.903,5.032,39.258,14.355,18.419
3156,2010,0.581,66.645,63.226,0.411,17.032,2.194,37.065,15.452,14.935
3157,2010,0.538,54.654,58.346,0.371,17.115,3.192,32.077,10.538,15.962
3158,2010,0.667,63.407,59.926,0.404,16.667,2.444,38.778,13.185,16.926
3159,2010,0.375,57.0,63.875,0.365,16.292,2.5,37.875,11.958,16.833
3160,2010,0.433,66.967,66.567,0.41,17.367,3.833,35.133,12.033,18.633
3161,2010,0.414,60.655,63.69,0.378,18.931,2.931,37.483,13.31,16.0
3162,2010,0.643,65.679,60.75,0.41,18.464,3.393,38.964,13.893,17.357
3163,2010,,,,,,,,,
3164,2010,0.24,55.48,62.52,0.391,20.68,2.4,37.84,11.84,19.08
3165,2010,0.231,57.269,70.115,0.367,20.0,2.269,35.885,13.231,17.231
3166,2010,0.667,64.7,58.333,0.395,14.9,4.033,38.3,12.3,15.933
3167,2010,0.556,74.741,71.37,0.415,15.148,3.074,33.889,12.63,17.926
3168,2010,0.469,67.344,69.312,0.371,15.938,1.188,39.438,11.844,19.031
3169,2010,0.148,61.074,74.63,0.379,21.111,3.815,38.037,13.667,19.481
3170,2010,0.483,78.69,82.345,0.374,18.069,2.241,44.931,17.0,17.552
3171,2010,0.407,50.815,58.704,0.342,19.148,4.148,36.296,9.741,12.815
3172,2010,0.462,65.846,66.038,0.419,19.385,3.308,38.231,13.0,20.269
3173,2010,0.808,70.769,59.5,0.42,16.962,4.077,42.808,14.462,16.577
3174,2010,0.656,63.125,57.688,0.408,16.656,3.781,39.062,9.375,15.125
3175,2010,0.143,46.75,58.393,0.3,19.214,2.214,34.5,6.143,16.75
3176,2010,0.581,62.613,62.226,0.482,18.871,4.839,34.323,14.516,12.903
3177,2010,0.656,68.062,64.219,0.42,17.375,4.125,39.344,15.281,17.031
3178,2010,0.548,61.452,61.871,0.409,15.903,1.032,35.226,13.194,13.968
3179,2010,0.464,66.107,65.25,0.425,16.179,1.607,34.5,12.679,16.107
3180,2010,0.567,60.833,60.367,0.395,14.367,1.1,32.1,13.1,17.067
3181,2010,0.844,71.594,55.062,0.422,17.906,5.281,43.312,14.25,17.688
3182,2010,0.645,63.968,62.742,0.386,17.548,4.032,37.452,14.645,16.161
3183,2010,0.688,69.062,61.656,0.411,16.906,2.656,41.219,14.625,16.719
3184,2010,0.393,54.893,60.0,0.387,21.643,3.429,37.893,11.393,19.679
3185,2010,0.704,70.704,66.778,0.385,16.704,4.037,40.63,12.148,19.407
3186,2010,0.607,64.75,64.821,0.397,16.571,3.393,37.143,12.929,18.464
3187,2010,0.71,72.742,64.258,0.468,20.935,2.484,39.645,16.258,18.484
3188,2010,0.208,57.333,68.583,0.339,17.917,1.625,35.708,10.917,19.167
3189,2010,0.333,61.815,68.259,0.373,21.889,4.963,40.037,9.778,19.074
3190,2010,0.742,77.71,71.0,0.415,17.935,3.484,43.742,14.419,17.548
3191,2010,0.133,56.1,71.633,0.351,19.2,2.867,34.633,11.433,15.833
3192,2010,0.31,57.448,62.897,0.373,17.241,2.759,34.138,9.172,18.414
3193,2010,0.594,58.375,57.688,0.395,14.75,6.406,37.344,12.469,13.781
3194,2010,0.464,66.214,67.786,0.417,16.393,1.929,34.607,12.036,17.357
3195,2010,0.8,70.333,58.133,0.42,14.4,1.9,32.5,17.5,17.3
3196,2010,0.467,62.333,63.9,0.383,18.767,3.667,38.3,13.633,17.533
3197,2010,0.577,60.038,61.308,0.362,19.962,3.577,42.808,9.038,16.692
3198,2010,0.448,60.655,63.069,0.398,20.345,5.172,37.724,11.724,16.828
3199,2010,0.833,74.467,60.1,0.448,19.033,4.033,41.667,15.333,17.133
3200,2010,0.267,55.933,63.1,0.381,16.467,1.667,32.333,10.8,15.6
3201,2010,0.818,73.455,60.576,0.42,15.636,2.606,38.455,14.636,16.394
3202,2010,0.2,55.733,63.867,0.357,18.333,3.5,33.267,10.8,16.467
3203,2010,0.214,54.821,65.071,0.363,17.143,3.071,36.429,10.929,15.214
3204,2010,0.586,58.379,57.483,0.382,16.655,1.966,34.276,11.828,15.828
3205,2010,0.857,68.786,59.179,0.423,17.286,4.357,39.571,14.25,18.964
3206,2010,0.333,53.767,61.367,0.364,18.467,4.0,34.433,10.767,17.033
3207,2010,0.8,68.033,58.367,0.397,16.3,2.6,35.233,15.867,18.033
3208,2010,0.742,62.968,54.548,0.389,16.29,5.387,40.129,11.839,14.548
3209,2010,0.5,58.867,55.3,0.407,16.167,3.0,34.433,13.467,17.1
3210,2010,0.719,66.219,57.656,0.406,18.938,2.344,41.125,15.0,17.219
3211,2010,0.871,80.935,57.645,0.477,15.677,4.581,41.613,19.355,15.065
3212,2010,0.444,57.778,61.37,0.386,22.037,3.593,35.556,10.556,17.407
3213,2010,,,,,,,,,
3214,2010,0.633,62.833,55.133,0.369,15.533,2.233,37.633,11.6,18.833
3215,2010,,,,,,,,,
3216,2010,0.871,63.0,50.129,0.405,16.29,5.032,39.968,12.516,14.742
3217,2010,0.714,68.75,64.107,0.431,16.214,5.429,36.393,14.643,15.607
3218,2010,0.32,60.92,70.2,0.408,20.28,3.96,37.28,11.52,18.6
3219,2010,0.548,66.452,65.065,0.397,17.484,5.484,38.387,13.226,18.387
3220,2010,0.594,61.688,58.438,0.407,21.781,5.031,40.469,12.906,19.0
3221,2010,0.3,60.05,64.9,0.367,15.95,2.35,32.0,13.55,16.45
3222,2010,0.548,69.903,66.645,0.402,15.097,3.452,41.0,11.935,16.484
3223,2010,,,,,,,,,
3224,2010,0.517,56.862,59.517,0.348,15.759,1.793,39.172,9.828,15.828
3225,2010,0.355,60.258,65.903,0.364,15.452,2.387,36.226,10.774,13.613
3226,2010,0.464,60.357,67.929,0.389,18.679,2.179,34.607,13.964,18.393
3227,2010,0.4,62.8,65.067,0.409,16.233,4.533,36.6,12.933,16.0
3228,2010,0.533,61.067,59.433,0.412,18.9,5.9,38.3,13.433,17.767
3229,2010,0.774,70.968,61.065,0.45,15.097,4.161,39.258,14.258,16.258
3230,2010,,,,,,,,,
3231,2010,0.467,66.0,65.467,0.38,16.367,1.9,38.633,11.567,18.367
3232,2010,0.552,64.379,62.517,0.388,16.379,2.759,36.862,11.586,17.034
3233,2010,0.581,64.419,60.774,0.386,18.71,3.387,39.935,13.806,18.258
3234,2010,0.594,69.438,66.094,0.413,17.031,4.406,38.562,13.844,15.062
3235,2010,0.75,65.929,53.643,0.43,14.321,2.607,38.0,14.357,14.429
3236,2010,0.429,64.5,64.857,0.405,16.75,3.821,34.071,12.25,16.643
3237,2010,0.071,51.321,69.964,0.367,23.571,3.893,34.75,8.929,18.393
3238,2010,0.214,50.536,63.714,0.331,22.214,1.607,37.036,8.893,19.714
3239,2010,0.31,58.345,62.966,0.341,20.034,4.655,42.379,10.69,18.966
3240,2010,0.286,56.536,67.214,0.359,16.25,3.107,36.5,11.75,14.25
3241,2010,0.812,71.375,61.062,0.407,16.125,3.875,43.75,12.031,17.844
3242,2010,0.5,67.6,65.7,0.451,17.367,4.033,37.9,13.9,17.333
3243,2010,0.452,61.613,62.065,0.402,13.935,2.161,33.323,11.452,15.161
3244,2010,0.379,59.483,68.276,0.329,20.0,3.897,40.966,9.483,18.759
3245,2010,0.667,66.133,61.933,0.401,17.767,2.433,37.9,12.7,16.9
3246,2010,0.781,73.906,58.125,0.413,15.719,4.25,38.5,12.281,18.469
3247,2010,0.214,50.929,60.286,0.376,18.5,1.821,28.429,11.357,14.107
3248,2010,0.273,46.682,61.273,0.362,18.318,2.455,28.955,9.591,18.273
3249,2010,0.774,74.419,67.129,0.425,16.452,3.484,40.194,16.968,16.839
3250,2010,0.893,66.5,55.429,0.409,16.071,3.25,38.25,14.643,15.679
3251,2010,0.828,65.241,49.655,0.472,19.345,2.517,39.345,11.828,17.069
3252,2010,0.172,58.621,67.828,0.359,16.552,2.034,35.31,12.483,16.207
3253,2010,0.433,67.167,69.367,0.405,17.667,1.7,36.4,13.267,16.867
3254,2010,0.71,67.903,63.032,0.441,18.484,2.097,39.742,15.452,16.0
3255,2010,0.31,61.345,68.345,0.371,19.552,4.103,34.862,11.172,19.552
3256,2010,0.742,74.258,64.323,0.435,17.097,3.742,44.548,14.516,16.032
3257,2010,0.414,66.172,69.379,0.421,21.448,2.552,38.552,11.034,19.828
3258,2010,0.433,65.333,67.333,0.405,14.6,1.833,34.3,11.1,14.933
3259,2010,0.483,61.138,60.931,0.39,16.552,2.0,35.172,11.138,15.828
3260,2010,0.483,61.586,64.414,0.424,15.724,3.207,31.724,15.414,18.172
3261,2010,0.69,69.379,52.138,0.419,12.379,3.931,39.483,14.621,14.552
3262,2010,,,,,,,,,
3263,2010,0.276,54.552,64.793,0.356,20.034,2.379,37.448,11.724,17.862
3264,2010,0.5,62.3,60.333,0.402,16.767,2.8,32.9,12.2,15.267
3265,2010,0.788,68.182,57.909,0.42,13.485,4.485,36.818,14.455,13.97
3266,2010,0.516,61.258,59.968,0.381,18.484,2.258,37.71,12.903,16.387
3267,2010,0.448,59.31,62.069,0.403,17.448,3.517,39.379,14.414,17.414
3268,2010,0.6,68.867,62.833,0.429,19.067,3.767,43.333,13.3,15.833
3269,2010,0.379,59.379,63.897,0.388,17.931,3.414,35.414,13.517,14.414
3270,2010,0.185,61.0,70.37,0.349,20.815,1.444,42.185,10.926,21.889
3271,2010,0.423,59.0,63.154,0.382,19.654,3.577,38.308,10.615,17.885
3272,2010,0.567,66.533,65.967,0.408,17.467,3.2,40.633,11.767,19.633
3273,2010,0.467,64.067,66.667,0.393,16.467,2.7,37.4,12.167,17.267
3274,2010,0.567,75.067,66.233,0.409,16.9,4.367,42.967,14.2,16.967
3275,2010,0.3,65.6,71.4,0.396,20.033,4.767,35.5,12.967,21.933
3276,2010,0.567,65.5,60.433,0.418,15.633,3.367,37.567,13.0,15.0
3277,2010,0.71,67.419,59.355,0.414,17.581,6.419,41.516,15.161,18.355
3278,2010,0.433,62.833,61.5,0.372,17.2,2.4,38.033,13.167,16.967
3279,2010,0.533,70.533,65.2,0.41,14.067,1.767,37.933,14.067,16.6
3280,2010,0.613,70.29,60.065,0.405,15.806,4.065,39.968,14.548,17.065
3281,2010,0.4,61.9,60.9,0.375,14.2,4.0,36.233,12.3,15.667
3282,2010,0.5,65.133,66.567,0.416,18.067,2.2,37.533,13.767,19.4
3283,2010,0.69,76.655,70.724,0.442,16.862,2.897,37.345,15.103,17.172
3284,2010,0.533,57.5,58.367,0.373,16.7,1.167,35.3,11.367,17.167
3285,2010,0.481,63.444,64.222,0.392,16.519,4.296,38.778,11.63,14.926
3286,2010,0.548,71.516,69.419,0.429,17.645,5.226,40.742,13.258,17.452
3287,2010,0.655,68.414,62.828,0.366,15.379,2.103,42.448,13.414,16.241
3288,2010,0.556,63.889,62.037,0.372,18.333,2.852,38.074,9.111,17.444
3289,2010,,,,,,,,,
3290,2010,0.231,58.231,69.346,0.352,21.692,3.192,38.269,9.538,21.077
3291,2010,0.333,54.185,57.926,0.357,19.852,2.63,36.889,11.37,16.296
3292,2010,0.833,81.4,64.067,0.46,15.9,2.467,35.967,17.767,19.233
3293,2010,0.414,69.828,69.862,0.392,15.621,3.483,38.138,13.276,20.345
3294,2010,0.429,62.964,65.071,0.397,16.643,3.0,37.179,10.679,17.036
3295,2010,0.536,63.393,61.071,0.407,17.143,3.464,36.25,12.821,16.536
3296,2010,0.345,65.379,70.345,0.393,17.552,2.379,38.897,12.414,17.759
3297,2010,,,,,,,,,
3298,2010,0.536,57.821,56.214,0.383,16.893,2.357,35.607,13.679,14.036
3299,2010,0.655,71.517,66.276,0.424,18.034,3.655,39.172,14.069,16.862
3300,2010,0.346,57.231,69.154,0.373,23.538,3.423,34.538,11.769,15.0
3301,2010,0.606,64.848,62.485,0.385,18.97,2.545,39.0,11.485,17.788
3302,2010,,,,,,,,,
3303,2010,,,,,,,,,
3304,2010,0.967,77.4,58.5,0.459,14.833,3.767,39.233,13.733,14.7
3305,2010,0.516,63.548,62.935,0.401,20.452,3.774,40.452,12.452,17.29
3306,2010,0.29,57.548,64.968,0.39,17.613,4.71,36.161,11.613,15.516
3307,2010,0.6,63.933,58.5,0.385,12.533,4.2,37.5,13.367,15.133
3308,2010,0.567,68.233,65.133,0.395,16.967,4.0,38.167,12.533,19.9
3309,2010,0.375,54.906,61.156,0.39,21.469,4.375,38.469,10.688,17.125
3310,2010,0.419,58.839,63.452,0.385,16.0,2.323,33.0,13.355,16.194
3311,2010,0.148,56.185,69.148,0.347,21.111,1.148,35.593,8.444,19.333
3312,2010,0.4,57.92,62.6,0.346,18.92,2.2,36.84,10.96,18.36
3313,2010,0.042,54.042,69.125,0.364,19.667,1.208,34.083,9.875,16.292
3314,2010,0.621,75.655,67.655,0.41,20.517,5.552,46.552,14.966,19.586
3315,2010,0.519,64.444,65.296,0.384,18.37,2.481,36.778,14.593,16.111
3316,2010,0.375,56.125,59.125,0.388,21.781,2.844,39.969,12.562,18.062
3317,2010,0.29,65.323,78.484,0.4,22.871,2.516,37.677,9.129,20.032
3318,2010,0.419,63.194,66.097,0.394,18.645,2.452,35.677,10.065,16.194
3319,2010,0.172,61.069,68.828,0.382,17.724,2.655,36.241,13.862,19.103
3320,2010,0.516,67.645,65.903,0.409,16.355,2.581,36.0,13.032,17.903
3321,2010,0.517,62.655,63.759,0.407,16.69,4.69,37.034,16.138,14.448
3322,2010,0.444,68.852,68.852,0.4,17.963,3.407,38.185,14.222,18.704
3323,2010,0.844,76.844,61.875,0.45,16.594,3.75,38.906,17.938,16.969
3324,2010,0.536,67.25,62.107,0.422,15.143,2.821,37.714,17.714,15.0
3325,2010,0.267,57.433,63.133,0.389,20.467,3.833,36.333,11.933,16.467
3326,2010,0.882,77.853,61.5,0.456,14.676,3.912,40.618,16.941,13.059
3327,2010,,,,,,,,,
3328,2010,0.697,71.697,66.667,0.426,16.636,2.818,41.212,13.424,17.273
3329,2010,0.688,72.219,67.094,0.409,12.719,3.312,41.031,11.562,17.875
3330,2010,0.581,63.774,65.226,0.405,20.355,3.452,36.968,12.677,17.774
3331,2010,0.733,86.9,72.633,0.435,19.3,2.233,39.933,16.4,19.8
3332,2010,0.533,81.4,76.267,0.43,15.967,4.333,39.267,15.2,19.8
3333,2010,0.355,56.323,59.484,0.388,18.484,2.323,36.774,10.452,17.355
3334,2010,0.214,62.464,72.536,0.368,21.321,3.679,36.714,12.286,19.143
3335,2010,0.074,46.407,60.852,0.313,17.259,3.593,35.222,10.444,15.444
3336,2010,0.567,66.2,64.433,0.398,17.3,5.033,40.733,12.333,18.0
3337,2010,0.645,66.065,65.419,0.367,15.129,4.097,37.065,11.677,16.871
3338,2010,0.533,68.7,65.133,0.415,17.433,5.633,42.133,14.967,18.567
3339,2010,0.6,69.667,67.2,0.418,16.567,3.933,38.733,15.9,14.467
3340,2010,0.517,68.103,66.828,0.406,16.172,4.241,38.138,14.69,16.862
3341,2010,0.536,64.964,59.607,0.416,20.286,3.929,36.5,12.5,15.571
3342,2010,0.143,47.393,63.179,0.351,24.107,1.679,33.393,9.5,18.036
3343,2010,0.929,71.571,51.964,0.444,14.25,4.643,40.929,14.786,15.107
3344,2010,0.517,64.172,63.828,0.399,15.414,3.966,35.655,13.793,19.138
3345,2010,0.467,59.867,60.067,0.384,18.7,3.167,34.767,12.567,17.7
3346,2010,0.4,62.133,66.933,0.381,21.133,3.833,41.367,13.4,18.967
3347,2010,0.185,54.852,65.148,0.36,19.111,3.148,35.0,10.37,17.963
3348,2010,0.321,52.893,61.75,0.387,19.607,2.536,36.179,11.5,15.679
3349,2010,0.433,64.133,68.067,0.37,16.8,1.4,41.1,13.833,18.733
3350,2010,0.633,63.2,58.333,0.4,16.0,2.5,34.4,13.767,16.233
3351,2010,0.133,52.7,65.533,0.334,20.3,2.933,42.233,10.4,16.933
3352,2010,0.742,66.903,56.484,0.441,15.806,4.032,38.419,13.613,13.839
3353,2010,0.562,56.781,56.0,0.391,17.656,4.719,36.906,11.656,18.188
3354,2010,0.387,62.194,67.161,0.404,18.452,2.806,36.71,10.548,20.161
3355,2010,0.7,74.733,62.233,0.467,19.2,3.167,36.233,16.9,17.3
3356,2010,0.172,61.276,70.483,0.371,19.034,2.931,37.31,12.483,20.655
3357,2010,0.633,62.7,58.567,0.402,16.4,2.933,35.4,13.5,15.467
3358,2010,0.379,71.655,80.103,0.382,17.793,2.621,40.276,16.172,19.931
3359,2010,0.688,63.469,57.344,0.432,14.531,1.938,31.219,14.406,15.281
3360,2010,0.5,63.893,63.357,0.41,17.75,3.179,36.5,9.393,17.321
3361,2010,0.677,65.387,57.71,0.448,18.839,5.419,36.097,16.0,15.677
3362,2010,0.161,52.71,66.71,0.339,17.935,1.839,36.516,9.613,16.29
3363,2010,0.207,56.586,71.241,0.38,21.276,3.103,35.966,10.345,19.793
3364,2010,0.484,61.0,60.581,0.429,20.129,6.419,40.677,13.032,15.355
3365,2010,0.133,58.467,71.167,0.382,19.833,1.5,37.133,10.733,16.567
3366,2010,0.231,45.654,58.0,0.334,22.538,4.692,34.846,9.346,15.5
3367,2010,0.667,72.37,68.185,0.404,19.667,3.37,39.963,15.37,19.037
3368,2010,0.333,58.593,67.704,0.362,18.667,1.963,38.704,10.37,18.296
3369,2010,0.2,52.76,65.44,0.332,18.48,2.36,35.68,10.52,18.0
3370,2010,0.125,55.625,66.208,0.373,18.75,1.25,33.625,13.417,15.125
3371,2010,0.3,51.167,62.333,0.338,17.533,3.033,35.833,10.3,15.1
3372,2010,0.643,78.75,73.143,0.386,17.214,3.393,45.857,15.5,21.321
3373,2010,0.379,55.931,59.793,0.365,18.103,2.897,36.966,12.483,16.172
3374,2010,0.667,68.367,63.0,0.411,16.4,3.4,38.767,14.233,16.567
3375,2010,0.467,63.433,65.233,0.373,13.1,2.2,35.433,10.867,15.7
3376,2010,0.483,64.621,64.759,0.414,16.655,2.207,38.241,10.621,17.379
3377,2010,,,,,,,,,
3378,2010,0.483,62.138,62.483,0.403,18.586,3.138,39.483,12.724,18.414
3379,2010,0.276,62.931,70.483,0.409,20.931,1.966,37.103,13.207,19.517
3380,2010,0.724,58.517,53.138,0.364,20.793,3.345,39.724,11.207,21.276
3381,2010,0.241,55.552,70.241,0.357,21.621,3.966,39.552,12.138,16.931
3382,2010,0.71,64.645,53.871,0.453,13.548,1.29,31.0,10.516,16.0
3383,2010,0.069,48.655,67.655,0.333,20.207,3.138,32.828,9.931,19.724
3384,2010,0.548,68.968,66.097,0.401,17.484,2.161,38.71,14.355,18.194
3385,2010,0.8,70.567,57.767,0.426,15.1,3.367,40.433,14.133,14.9
3386,2010,0.548,63.29,60.516,0.399,16.516,2.968,37.452,12.806,16.613
3387,2010,0.367,62.167,64.567,0.388,17.733,1.767,38.0,12.167,19.2
3388,2010,0.7,69.667,67.367,0.438,22.567,7.2,42.8,14.167,16.8
3389,2010,0.367,54.2,57.9,0.365,20.0,4.4,38.3,9.4,18.733
3390,2010,0.969,77.125,53.969,0.475,14.312,4.469,44.875,17.906,13.25
3391,2010,0.207,55.069,68.103,0.355,21.069,2.828,38.759,9.793,17.517
3392,2010,0.333,56.9,64.333,0.355,18.7,1.9,37.933,10.667,20.6
3393,2010,0.688,71.625,59.562,0.413,18.344,4.094,45.625,14.469,15.156
3394,2010,0.7,69.267,66.067,0.388,18.4,2.533,45.6,11.5,16.533
3395,2010,0.733,72.3,60.3,0.414,16.033,3.6,39.333,15.6,16.233
3396,2010,0.75,62.062,54.969,0.391,17.688,4.0,40.531,12.562,16.625
3397,2010,0.938,74.094,56.688,0.462,14.906,6.5,43.312,15.594,14.906
3398,2010,0.333,62.778,69.222,0.368,18.037,2.037,40.074,11.852,21.296
3399,2010,0.448,65.241,67.655,0.388,16.724,2.414,39.793,11.724,21.655
3400,2010,0.688,73.781,64.188,0.427,17.5,6.094,42.562,13.562,16.906
3401,2010,0.781,75.375,60.188,0.458,15.438,5.031,38.969,16.031,20.406
3402,2010,0.13,62.0,72.783,0.372,21.0,2.826,40.217,11.13,21.87
3403,2010,0.548,64.935,63.0,0.408,16.839,3.548,36.613,12.839,17.29
3404,2010,0.367,53.167,62.1,0.377,18.733,2.3,31.633,11.1,14.267
3405,2010,0.75,69.469,62.719,0.431,19.594,3.594,39.125,16.0,16.781
3406,2010,0.483,55.793,58.586,0.362,19.828,2.966,39.414,11.379,17.241
3407,2010,0.393,62.714,64.5,0.416,19.5,2.429,37.214,9.679,17.893
3408,2010,0.812,69.906,60.219,0.426,17.469,3.031,36.0,15.531,17.031
3409,2010,0.429,64.143,63.393,0.379,17.536,5.25,42.821,12.786,19.536
3410,2010,0.32,59.8,72.72,0.372,20.44,3.0,35.24,11.96,18.04
3411,2010,0.419,59.226,63.968,0.386,20.968,3.71,40.581,12.29,17.065
3412,2010,0.531,61.969,63.562,0.379,15.781,2.156,38.094,10.406,20.5
3413,2010,0.677,65.323,60.097,0.418,17.226,2.419,31.484,12.613,16.548
3414,2010,0.3,63.6,69.933,0.375,19.2,2.733,37.067,12.267,22.2
3415,2010,0.531,63.344,63.0,0.42,17.594,4.281,35.031,14.438,17.562
3416,2010,0.407,64.556,64.259,0.392,18.296,1.296,40.185,11.37,18.444
3417,2010,0.733,65.367,56.233,0.432,17.767,3.133,38.733,13.433,19.067
3418,2010,0.31,62.69,72.069,0.379,18.828,1.241,36.103,10.138,17.034
3419,2010,0.345,58.966,65.793,0.344,19.138,2.103,41.31,11.345,19.034
3420,2010,0.414,58.345,64.828,0.386,16.793,3.0,35.034,11.793,15.862
3421,2010,0.192,57.346,68.269,0.352,21.692,2.731,39.192,11.154,17.769
3422,2010,0.333,58.267,64.7,0.355,17.133,3.0,35.967,11.233,17.3
3423,2010,0.387,60.323,61.258,0.415,18.935,2.065,34.935,12.065,17.484
3424,2010,0.4,61.933,67.767,0.359,17.633,2.867,39.433,11.867,16.533
3425,2010,0.613,64.774,64.161,0.379,14.903,3.419,36.903,13.645,15.613
3426,2010,0.484,67.097,70.226,0.394,19.613,3.0,40.968,11.774,18.71
3427,2010,0.517,63.483,62.793,0.369,15.655,3.379,40.276,9.828,17.724
3428,2010,0.656,58.625,55.781,0.415,17.781,3.812,37.875,13.25,13.188
3429,2010,0.414,58.517,61.034,0.388,17.621,4.828,34.276,11.207,17.069
3430,2010,0.259,59.037,71.148,0.387,20.889,1.556,33.963,12.259,16.222
3431,2010,0.484,63.097,62.677,0.423,16.71,3.71,35.194,14.742,16.968
3432,2010,,,,,,,,,
3433,2010,0.625,68.5,61.406,0.407,15.938,2.094,36.031,13.906,17.062
3434,2010,0.276,57.552,62.207,0.37,17.207,2.069,34.931,12.793,16.0
3435,2010,0.688,69.469,62.844,0.455,16.688,2.438,35.781,14.75,18.031
3436,2010,0.806,66.355,55.355,0.409,13.871,3.516,38.194,12.032,15.226
3437,2010,0.467,52.433,55.067,0.373,13.5,3.067,30.6,13.633,14.133
3438,2010,0.7,69.767,62.6,0.399,16.367,3.9,40.7,11.767,18.067
3439,2010,0.5,62.067,59.967,0.402,18.233,3.667,40.167,13.833,15.033
3440,2010,,,,,,,,,
3441,2010,0.241,58.414,63.621,0.377,15.517,2.828,36.483,9.069,17.724
3442,2010,0.31,48.655,63.069,0.337,18.517,1.517,32.966,10.379,16.759
3443,2010,0.677,69.0,64.742,0.417,15.839,2.935,39.097,12.194,19.935
3444,2010,0.3,57.633,67.167,0.354,19.633,2.333,34.7,10.567,18.833
3445,2010,,,,,,,,,
3446,2010,,,,,,,,,
